cohort,model,lambda,n_active,n_users,mrr,hit_at_1,hit_at_3,hit_at_10
val,PPR,0.005,60,30,0.04883525953302966,0.03333333333333333,0.03333333333333333,0.1
val,FIS-recency-A0,0.005,60,30,0.006730362709453922,0.00021929824561403506,0.0010701871590600856,0.01630841431541391
val,FIS-recency-A1,0.005,60,30,0.006730362709453922,0.00021929824561403506,0.0010701871590600856,0.01630841431541391
test,PPR,0.005,60,30,0.0056604123815702,0.0,0.0,0.0
test,FIS-recency-A0,0.005,60,30,0.004241167892468208,0.0,0.0004343151401974931,0.006569786088353293
test,FIS-recency-A1,0.005,60,30,0.004241167892468208,0.0,0.0004343151401974931,0.006569786088353293
